scheduler,seed,cards,tasks,arrival_mode,bw_cap,card_cv,card_jfi,card_lif,max_min_ratio,avg_load_imbalance,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,avg_delay,p99_delay_excl_cold,avg_delay_excl_cold,avg_congestion_ratio,congested_card_tick_frac,mean_congestion_wait_ticks,p95_congestion_wait_ticks,avg_utilization,peak_backlog,time_card_cv_mean,time_card_cv_max,time_card_jfi_mean,time_card_lif_mean,time_card_lif_max,time_card_max_min_ratio_mean,time_card_load_variance_mean,completed_tasks,tail_count,tail_frac,max_delay,avg_delay_above_p99,max_delay_excl_cold,eff_tail_count,eff_tail_frac,eff_avg_delay_above_p99,fingerprint_set
bestfit,21,4,800,bursty,900000.0,0.42424438376369183,0.8275955644493909,1.5777027798748915,5.560226308671911,41052754681.17365,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.48,15.0,5.48,0.12183519350758648,0.3260050251256281,1.44375,4.0,0.6083395047237327,3023777.828125,0.5684485933540585,0.6203051042635329,0.7557568153437297,1.6439202092614762,1.662617530479104,67.50000164794926,97226475653.36852,800,1,0.00125,18.0,18.0,18.0,1,0.00125,18.0,mixed
bestfit,42,4,800,bursty,900000.0,0.43404685466355397,0.8257619518683817,1.5735697999893428,6.107081310446411,41074321672.81722,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.4925,15.0,5.4925,0.1062418330209848,0.2871536523929471,1.40125,3.0,0.5875194939804611,2835206.46875,0.5779827966972555,0.614970021788901,0.7495893673912831,1.7036356484551822,1.7651763523882151,67.51598168699805,93732595352.09149,800,3,0.00375,18.0,17.0,18.0,3,0.00375,17.0,mixed
bestfit,99,4,800,bursty,900000.0,0.3982586249818861,0.8419498373984923,1.5288701335106987,4.873975784725122,40239854334.82394,1.0,1.5355086372360844,1.5355086372360844,0.0,15.0,5.45875,15.0,5.45875,0.1345077499287668,0.3473282442748092,1.50625,3.0,0.6308383270948743,2983777.8125,0.544342525635543,0.6045199017441562,0.7713159746652705,1.5870972713921874,1.6619912503636005,71.64440580387259,95252082001.8071,800,2,0.0025,17.0,16.5,17.0,2,0.0025,16.5,mixed
bestfit,123,4,800,bursty,900000.0,0.41573938221777024,0.8346649404053152,1.540912012383113,5.020762841869206,44016737103.61294,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.415,15.0,5.415,0.12347622332968529,0.33542713567839194,1.4825,3.0,0.6279652574531731,3173730.2392578125,0.5389744767979523,0.6177212291022056,0.7746852245891398,1.5940795294167809,1.6469871751006975,67.50000164794926,92876113265.81007,800,1,0.00125,19.0,19.0,19.0,1,0.00125,19.0,mixed
bestfit,2024,4,800,bursty,900000.0,0.41112370685032334,0.8314487633934882,1.5552008586970871,5.25918451917639,38651178458.71403,1.0,1.5267175572519085,1.5267175572519085,0.0,19.0,5.88625,19.0,5.88625,0.13941795842807855,0.3522727272727273,1.62375,4.0,0.6178367635461056,3108251.78125,0.5737308456714565,0.6163010611465787,0.7523183808382612,1.621305226062882,1.7093798568384702,67.50000164794926,101397016272.58066,800,6,0.0075,23.0,21.666666666666668,23.0,6,0.0075,21.666666666666668,mixed
bestfit,21,4,800,mixed,900000.0,0.37554931085803833,0.8615637093123765,1.4936415262668528,4.839087367065075,41423048838.35124,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.32625,15.0,5.32625,0.11365351857498114,0.3128140703517588,1.15,3.0,0.6465305282250281,2682129.875,0.4894997651398238,0.5487934527862919,0.8064160850656765,1.5481652955022938,1.5895027208231682,56.300799631602935,81266467102.29066,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,42,4,800,mixed,900000.0,0.39483009238827804,0.8515088785677087,1.529376440918212,5.427552184653975,40797100057.094955,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.33875,15.0,5.33875,0.10880533189305881,0.2959697732997481,1.155,3.0,0.631002098231856,2657386.921875,0.5071749815607183,0.5736387700289683,0.7950932293850627,1.586663131742407,1.6795774106553831,67.50000164794926,83187826288.9098,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,99,4,800,mixed,900000.0,0.34182499939245004,0.8783568231001407,1.4412415833206556,5.163362629512638,39643997695.41908,1.0,1.5625,1.5625,0.0,15.0,5.3475,15.0,5.3475,0.12702008869523038,0.3515625,1.1875,3.0,0.6897559739515516,3110055.828125,0.44684145077179704,0.48048384732727667,0.833303023128553,1.4518056412194928,1.5466492258117062,67.50000164794926,77072397711.17377,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,123,4,800,mixed,900000.0,0.3773950589060915,0.8610361077511423,1.4911882106564978,3.940938383809639,39270203850.947334,1.0,1.5625,1.5625,0.0,15.0,5.33625,15.0,5.33625,0.11400237449762533,0.3196614583333333,1.2025,3.0,0.6549844418101841,2813558.46875,0.47905042405655396,0.5295812461834565,0.8130844931219954,1.5275994093806033,1.5717431870273522,56.300799631602935,80492075383.02678,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
bestfit,2024,4,800,mixed,900000.0,0.3956446813240878,0.8502410856794261,1.5250794179990148,4.714361906059672,40844914822.09549,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,5.34875,15.0,5.34875,0.11857545586809959,0.32721518987341774,1.2375,3.0,0.6465972628148074,2722693.609375,0.5066646031730522,0.5517351004380084,0.7956062603828343,1.5476810278909776,1.6044556378102237,67.50000164794926,87013625500.56003,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,21,4,800,poisson,900000.0,0.3671497636020786,0.8696824928711759,1.482275202699412,4.468228040657408,43728461811.4091,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.32125,15.0,5.32125,0.11213760655282284,0.2972292191435768,1.11375,3.0,0.6500052610056654,2622455.859375,0.45292038794496386,0.48804533594021193,0.8296847411442445,1.5385787401588704,1.559640275845365,67.50000164794926,70273249584.60428,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,42,4,800,poisson,900000.0,0.3749157905044035,0.8664093370435784,1.491135586993446,3.6073455765208493,45580190004.38509,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,5.31,15.0,5.31,0.1132521105441678,0.30443037974683546,1.10875,3.0,0.6563681950796907,2479853.875,0.4425572608615271,0.475352782995404,0.835991683214251,1.52498954506813,1.5799781162950302,42.89800359814672,68587409595.37799,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
drf,99,4,800,poisson,900000.0,0.3641693860643957,0.8716621709946998,1.4744608918162179,5.145157600037309,44025247006.35109,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,5.32,15.0,5.32,0.10847841943377348,0.2868020304568528,1.0075,3.0,0.6560099616604207,2464472.984375,0.4353755645870425,0.503837091769818,0.8401357893463418,1.5254145163392392,1.573282712322544,67.50000164794926,66795230747.75511,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
